Date,Time,City,Temperature_F,Description,Humidity_Percent
2025-05-31,,New York,76,Sunny,
2025-06-01,,New York,71,Foggy,
2025-06-02,,Princeton,68,Light Rain,
2025-06-03,,Princeton,79,Sunny,
2025-06-04,,Princeton,73,Overcast,
2025-06-05,,New Brunswick,85,Clear,
2025-06-06,,New Brunswick,70,Rainy,
2025-06-07,,New Brunswick,82,Thunderstorms,
2025-06-08,,New Brunswick,75,Partly Cloudy,
2025-06-09,,New Brunswick,78,Sunny,
2025-06-30,18:27:17,New Brunswick,77,overcast clouds,71
2025-06-30,18:28:14,New Brunswick,77,overcast clouds,71
2025-06-30,19:03:04,New Brunswick,75,overcast clouds,73
2025-06-30,19:23:43,Lincoln,83,clear sky,43
2025-06-30,19:27:16,Denver,79,scattered clouds,46
2025-06-30,19:33:44,New Brunswick,73,broken clouds,73
2025-06-30,19:37:30,New Brunswick,73,broken clouds,73
2025-06-30,19:38:38,New Brunswick,73,broken clouds,73
2025-06-30,19:41:43,New Brunswick,72,broken clouds,75
2025-06-30,19:44:45,New Brunswick,72,broken clouds,75
2025-06-30,19:55:55,New Brunswick,72,broken clouds,76
2025-06-30,20:00:10,New Brunswick,72,broken clouds,76
2025-06-30,20:02:18,New Brunswick,72,broken clouds,76
2025-06-30,20:05:34,New Brunswick,72,broken clouds,76
2025-06-30,20:06:19,New Brunswick,71,broken clouds,76
2025-06-30,20:06:41,New Brunswick,71,broken clouds,76
2025-06-30,20:08:56,New Brunswick,71,broken clouds,76
2025-07-01,18:48:57,New Brunswick,72,overcast clouds,88
2025-07-01,18:50:03,miami,83,scattered clouds,82
2025-07-01,18:54:40,miami,83,scattered clouds,82
2025-07-02,13:03:40,miami,87,clear sky,74
2025-07-02,13:05:51,miami,88,clear sky,74
2025-07-02,13:06:51,miami,88,overcast clouds,72
2025-07-02,13:11:24,miami,88,overcast clouds,72
2025-07-02,13:12:28,miami,88,overcast clouds,72
2025-07-02,13:22:22,miami,89,overcast clouds,71
2025-07-02,13:53:33,miami,88,overcast clouds,71
2025-07-02,13:55:19,miami,88,overcast clouds,71
2025-07-02,13:56:41,miami,87,overcast clouds,73
2025-07-02,14:00:23,miami,87,overcast clouds,73
2025-07-02,14:01:43,miami,87,overcast clouds,73
2025-07-02,14:02:28,miami,87,overcast clouds,73
